Timestamp,nb_A,nb_W,nb_implicit_W,nb_dup_A,nb_dup_W,nb_A_prefix,nb_W_prefix,max_A_prefix,avg_A_prefix,max_A_AS,avg_A_AS,nb_orign_change,nb_new_A,nb_new_A_afterW,max_path_len,avg_path_len,max_editdist,avg_editdist,editdist_7,editdist_8,editdist_9,editdist_10,editdist_11,editdist_12,editdist_13,editdist_14,editdist_15,editdist_16,editdist_17,nb_tolonger,nb_toshorter,avg_interarrival,Evento,Label,Colector
0,6849,531,4775,1486,6,1382,208,125,5,642,17,23,262,326,22,6,17,2,148,106,11,13,6,0,0,0,0,2,4,2013,2762,1007,CenturyLink_Normal,0,rrc06
1,6488,290,4764,1431,5,1478,91,115,4,1133,15,8,100,193,40,6,19,2,107,31,210,52,2,3,0,0,0,3,0,1931,2833,1035,CenturyLink_Normal,0,rrc06
2,4944,277,3513,1165,19,930,82,116,5,337,13,17,117,149,40,6,38,2,60,38,16,68,5,3,0,2,4,0,0,1492,2021,1045,CenturyLink_Normal,0,rrc06
3,6378,257,4920,1204,14,1122,95,135,6,839,16,29,108,146,19,6,18,2,27,44,33,5,1,6,0,0,1,0,0,1802,3118,1031,CenturyLink_Normal,0,rrc06
4,6825,316,4859,1666,8,1296,105,117,5,1102,18,8,90,210,21,5,17,2,21,93,8,3,3,5,0,0,0,5,1,1538,3321,1038,CenturyLink_Normal,0,rrc06
5,6476,304,4579,1582,14,1204,102,126,5,725,14,12,158,157,21,6,20,2,27,4,154,155,9,6,0,3,1,4,1,1421,3158,1031,CenturyLink_Normal,0,rrc06
6,6312,385,4439,1455,2,1117,111,97,6,706,14,10,161,257,17,5,12,2,50,68,13,15,1,4,0,0,0,0,0,1471,2968,1020,CenturyLink_Normal,0,rrc06
7,7571,347,5972,1213,15,1323,108,116,6,907,15,24,191,195,24,6,15,2,76,77,6,9,4,11,2,1,1,0,0,1914,4058,1027,CenturyLink_Normal,0,rrc06
8,7051,322,5675,989,21,1193,94,110,6,1023,16,16,160,227,24,5,15,2,25,8,2,20,2,4,2,3,1,0,0,1722,3953,1064,CenturyLink_Normal,0,rrc06
9,7384,377,5901,1123,7,1136,126,133,6,1205,16,16,100,260,25,5,14,2,24,73,0,4,2,4,0,2,0,0,0,2061,3840,1017,CenturyLink_Normal,0,rrc06
10,7266,371,5631,1209,12,1348,91,107,5,733,14,27,164,262,24,5,19,2,31,34,12,14,3,10,2,4,1,1,0,1675,3956,1031,CenturyLink_Normal,0,rrc06
11,9280,464,6781,1771,5,1634,169,120,6,884,20,20,466,262,21,5,16,2,66,62,14,14,1,6,0,0,0,2,0,1951,4830,1045,CenturyLink_Normal,0,rrc06
12,7597,483,5697,1469,16,1431,159,117,5,1089,14,45,106,325,17,5,16,2,60,48,15,17,2,7,0,2,0,1,0,1796,3901,1049,CenturyLink_Normal,0,rrc06
13,6346,351,4382,1580,24,1134,97,127,6,674,15,48,185,199,18,5,14,2,19,76,9,16,0,4,3,4,0,0,0,1619,2763,1035,CenturyLink_Normal,0,rrc06
14,4929,231,3510,1012,9,1096,65,120,4,431,15,11,253,154,25,6,20,2,40,99,28,28,11,8,1,0,1,0,1,1464,2046,1031,CenturyLink_Normal,0,rrc06
15,6488,241,4439,1767,9,1529,61,99,4,861,14,5,117,165,24,5,21,2,19,20,4,8,4,0,4,1,0,2,0,1361,3078,1045,CenturyLink_Normal,0,rrc06
